FT   ID   AT   WT   TT
4:27  3  4:6  0:19  4:13
4:30  18  4:24  0:0  4:24
4:30  4  4:8  0:18  4:10
4:30  2  4:5  0:24  4:19
4:30  12  4:18  0:11  4:7
4:31  7  4:12  0:13  4:1
4:43  5  4:10  4:10  0:0
4:43  16  4:21  4:21  0:0
4:45  20  4:28  0:14  4:14
4:46  25  4:36  0:7  4:29
4:46  31  4:42  0:1  4:41
4:46  9  4:15  4:15  0:0
4:47  14  4:20  4:20  0:0
4:48  32  4:43  0:2  4:41
4:48  28  4:36  4:36  0:0
4:49  21  4:30  0:15  4:15
4:49  24  4:35  0:11  4:24
4:50  27  4:36  0:8  4:28
4:50  23  4:34  0:14  4:20
4:59  41  4:58  4:58  0:0
4:59  35  4:47  0:7  4:40
5:0  37  4:52  0:3  4:49
5:0  36  4:49  0:9  4:40
5:3  42  5:1  0:1  5:0
5:3  33  4:45  4:45  0:0
5:12  40  4:58  -1:57  5:1
5:19  49  5:9  0:9  5:0
5:28  54  5:18  0:6  5:12
5:31  57  5:20  0:7  5:13
5:39  59  5:23  5:23  0:0
5:40  64  5:31  5:31  0:0
5:42  63  5:31  0:7  5:24
5:43  69  5:37  5:37  0:0
5:43  65  5:32  0:6  5:26
5:46  70  5:38  5:38  0:0
5:56  80  5:55  5:55  0:0
5:56  67  5:36  0:12  5:24
5:56  73  5:42  0:7  5:35
5:58  78  5:52  0:4  5:48
5:58  77  5:49  0:0  5:49
6:0  76  5:48  5:48  0:0
6:3  79  5:54  0:3  5:51
6:5  83  6:0  6:0  0:0
6:12  81  5:57  5:57  0:0
6:15  84  6:0  0:11  6:11
6:19  91  6:15  0:3  6:12
6:27  97  6:26  0:0  6:26
6:28  96  6:25  0:2  6:23
6:31  89  6:13  6:13  0:0
6:34  92  6:19  6:19  0:0
6:34  99  6:26  6:26  0:0
6:39  105  6:36  0:1  6:35
6:41  106  6:39  0:1  6:38
6:45  101  6:30  0:10  6:20
6:49  112  6:47  0:1  6:46
6:51  109  6:45  0:4  6:41
6:54  111  6:46  0:5  6:41
6:54  114  6:49  0:2  6:47
7:6  117  6:54  -1:50  7:4
7:10  124  7:2  0:4  7:2
7:13  127  7:9  0:3  7:6
8:43  148  7:38  7:38  0:0
9:8  134  7:13  0:21  7:8
9:28  104  6:36  6:36  0:0
10:6  128  7:9  -1:23  8:14
10:35  186  8:40  8:40  0:0
10:35  218  9:28  9:28  0:0
10:53  138  7:25  -1:7  8:18
10:53  143  7:30  -2:11  9:19
10:53  214  9:23  -1:17  10:6
10:54  170  8:15  0:18  8:3
10:54  235  9:52  -1:45  10:7
10:58  125  7:5  7:5  0:0
11:15  180  8:31  0:23  8:8
11:29  230  9:43  0:12  9:31
11:43  146  7:35  7:35  0:0
11:43  184  8:38  8:38  0:0
11:43  189  8:44  8:44  0:0
11:57  185  8:38  0:11  8:27
12:18  240  9:54  9:54  0:0
12:27  142  7:29  -1:3  8:26
12:27  176  8:25  0:7  8:18
12:27  205  9:14  0:5  9:9
12:27  241  9:56  -1:50  10:6
12:27  190  8:46  -2:40  10:6
12:27  132  7:12  -3:41  10:29
12:28  193  8:52  -1:33  9:19
12:28  175  8:24  -1:5  9:19
12:28  196  8:55  -2:2  10:53
12:28  181  8:31  -3:9  11:22
12:28  172  8:19  -3:21  11:2
12:28  222  9:32  -2:8  11:24
12:28  183  8:35  -4:8  12:27
12:30  141  7:29  7:29  0:0
12:30  242  9:59  9:59  0:0
12:39  192  8:52  -4:15  12:37
12:40  174  8:22  8:22  0:0
12:40  252  10:13  -2:24  12:11
12:40  258  10:20  -2:18  12:2
12:40  233  9:47  -3:9  12:38
12:41  257  10:20  -2:17  12:3
12:41  280  10:58  -2:20  12:38
12:41  199  9:4  -3:34  12:30
12:41  255  10:17  -2:21  12:4
12:42  262  10:28  10:28  0:0
12:42  244  10:1  -2:36  12:35
12:42  209  9:21  -3:17  12:4
12:42  198  9:4  -3:34  12:30
12:43  207  9:17  9:17  0:0
12:43  251  10:13  10:13  0:0
12:43  285  11:7  -1:31  12:24
12:44  182  8:33  -4:4  12:29
12:44  179  8:28  -4:9  12:19
12:44  231  9:44  -3:7  12:37
12:44  270  10:38  -2:0  12:38
12:44  210  9:21  -3:17  12:4
12:45  276  10:51  10:51  0:0
12:45  213  9:23  9:23  0:0
12:45  238  9:53  -3:15  12:38
12:45  271  10:41  -2:3  12:38
12:46  282  11:2  11:2  0:0
12:46  219  9:29  -3:9  12:20
12:47  202  9:8  9:8  0:0
12:47  195  8:55  8:55  0:0
12:47  273  10:46  10:46  0:0
12:48  197  9:1  9:1  0:0
12:50  263  10:28  0:0  10:28
13:3  168  8:12  8:12  0:0
13:5  131  7:11  0:23  7:12
13:5  162  8:3  0:18  8:15
13:5  254  10:16  0:26  10:10
13:5  265  10:32  0:10  10:22
13:5  283  11:4  0:25  11:21
13:36  129  7:10  7:10  0:0
13:36  217  9:28  9:28  0:0
13:36  234  9:50  9:50  0:0
13:37  178  8:26  0:28  8:2
13:37  215  9:25  0:16  9:9
13:37  277  10:54  10:54  0:0
14:3  147  7:35  0:11  7:24
14:3  204  9:13  0:7  9:6
14:4  150  7:46  0:0  7:46
--------------------------------------------------------------------------------
passengers: 570 [ NP: 180, SP: 192, WP: 198]
Buses: 9 [WBus: 3, NBus: 6]
Passenger AVG wait time= 1.64789
Passenger AVG trip time (TT)= 20.3451
Auto-Promoted Passengers: 0%
