FT   ID   AT   WT   TT
4:27  8  4:16  0:10  4:6
4:29  6  4:13  0:12  4:1
4:29  9  4:16  0:12  4:4
4:34  4  4:10  0:19  4:9
4:42  22  4:35  4:35  0:0
4:45  15  4:24  4:24  0:0
4:45  10  4:17  4:17  0:0
4:46  18  4:27  4:27  0:0
4:47  28  4:43  0:0  4:43
4:47  5  4:11  4:11  0:0
4:49  25  4:37  0:6  4:31
4:49  24  4:37  4:37  0:0
4:49  16  4:24  4:24  0:0
4:51  23  4:35  0:13  4:22
4:52  27  4:41  0:8  4:33
4:57  29  4:44  0:12  4:32
4:58  37  4:53  0:4  4:49
5:0  38  4:55  0:3  4:52
5:4  39  4:56  0:3  4:53
5:7  32  4:47  4:47  0:0
5:16  48  5:12  5:12  0:0
5:17  40  5:1  0:13  5:12
5:17  42  5:4  0:12  5:8
5:21  49  5:15  0:2  5:13
5:22  44  5:6  0:10  5:4
5:22  45  5:9  0:7  5:2
5:23  46  5:9  0:5  5:4
5:30  52  5:21  0:8  5:13
5:35  58  5:29  5:29  0:0
5:35  55  5:24  0:7  5:17
5:38  56  5:26  5:26  0:0
5:45  60  5:32  5:32  0:0
5:48  61  5:35  5:35  0:0
5:51  64  5:42  0:4  5:38
5:53  59  5:31  0:18  5:13
5:54  63  5:39  0:10  5:29
5:58  70  5:50  0:6  5:44
6:0  71  5:53  0:4  5:49
6:2  69  5:49  0:9  5:40
6:4  72  5:54  5:54  0:0
6:6  67  5:47  5:47  0:0
6:6  77  6:4  6:4  0:0
6:14  76  6:2  0:11  6:9
6:18  83  6:10  0:4  6:6
6:32  92  6:26  0:2  6:24
6:33  91  6:26  0:6  6:20
6:38  93  6:29  0:0  6:29
6:48  97  6:38  0:6  6:32
6:49  101  6:48  0:0  6:48
8:13  127  7:30  0:0  7:30
8:36  103  6:53  6:53  0:0
8:36  116  7:15  7:15  0:0
9:38  185  8:52  0:3  8:49
9:50  163  8:20  0:4  8:16
10:3  65  5:43  0:1  5:42
10:3  146  8:3  0:34  8:31
10:3  160  8:14  -1:6  9:8
10:3  122  7:23  -2:3  9:20
10:3  180  8:43  -1:23  9:20
10:7  130  7:35  0:23  7:12
10:16  88  6:24  6:24  0:0
10:33  85  6:15  0:0  6:15
10:33  181  8:45  -1:38  9:7
11:4  120  7:22  0:7  7:15
11:6  94  6:30  6:30  0:0
11:6  90  6:26  6:26  0:0
11:6  148  8:6  8:6  0:0
11:6  195  9:6  9:6  0:0
11:29  107  7:0  -1:37  8:37
11:29  145  8:1  -2:2  10:1
11:30  158  8:11  -2:8  10:3
11:30  123  7:26  -3:20  10:6
11:30  166  8:25  -2:21  10:4
11:30  178  8:39  -3:10  11:29
11:38  152  8:8  8:8  0:0
11:40  183  8:48  -3:9  11:39
11:43  193  9:3  -2:37  11:34
11:44  157  8:11  -3:28  11:17
11:44  175  8:36  -3:3  11:33
11:44  200  9:16  -2:24  11:8
11:46  192  9:3  -2:36  11:33
11:46  177  8:37  -3:2  11:35
12:0  134  7:40  0:1  7:39
12:1  126  7:27  0:14  7:13
12:1  187  8:54  -1:47  9:7
12:17  161  8:16  0:25  8:9
12:17  173  8:31  0:10  8:21
12:47  139  7:51  7:51  0:0
12:47  95  6:32  6:32  0:0
12:47  142  7:58  7:58  0:0
12:47  151  8:8  8:8  0:0
12:49  87  6:21  6:21  0:0
12:49  174  8:34  8:34  0:0
12:49  136  7:43  7:43  0:0
12:49  82  6:8  6:8  0:0
12:49  149  8:8  8:8  0:0
13:0  165  8:22  0:19  8:3
13:2  154  8:8  8:8  0:0
13:3  201  9:18  9:18  0:0
13:4  171  8:29  8:29  0:0
13:4  197  9:8  9:8  0:0
13:5  117  7:16  7:16  0:0
13:5  118  7:19  7:19  0:0
13:6  128  7:32  7:32  0:0
13:6  199  9:13  9:13  0:0
13:6  143  7:58  7:58  0:0
13:6  168  8:26  8:26  0:0
13:6  169  8:27  8:27  0:0
13:10  144  7:58  7:58  0:0
13:30  132  7:37  0:7  7:30
13:47  198  9:11  9:11  0:0
--------------------------------------------------------------------------------
passengers: 402 [ NP: 120, SP: 124, WP: 158]
Buses: 9 [WBus: 3, NBus: 6]
Passenger AVG wait time= 2.32432
Passenger AVG trip time (TT)= 17.0901
Auto-Promoted Passengers: 0%
